name,brand,sku,price,currency,pack_size,availability,category_path,url,description,image_urls,specifications,extraction_method,extraction_confidence,fields_via_llm,extracted_at
Surgifoam®,Ethicon,PFPJK,214.49,USD,,in_stock,"[""Sutures & Surgical Products""]",https://www.safcodental.com/product/surgifoam-reg,"Sterile, water insoluble, malleable porcine gelatin absorbable sponge, intended for hemostatic use by applying to a bleeding surface.Use in oral surgery for the obliteration of dead space created by simple extraction, root amputation and removal of cysts, tumors and impacted teeth.Rapid hemostasis.Easy to handle: compressible, does not require any cutting.Absorbs up to 40 times its own weight.Bioresorbable.The sponge is porous and off-white in appearance.","[""https://www.safcodental.com/media/catalog/product/p/f/pfpjk.jpg?optimize=medium&fit=bounds&height=700&width=700&canvas=700:700""]",{},selector,1.0,[],2026-05-05T20:29:05.582100Z
Regenafill™ Bone Graft Plug,Surgical Esthetics,PFWRL,259.99,USD,,in_stock,"[""Sutures & Surgical Products""]",https://www.safcodental.com/product/regenafill-sup-trade-sup-bone-graft-plug,"Composed of 80% carbonate phosphate based mineral with a carbonate apatite structure combined with 20% Type I Achilles bovine tendon collagen. This mineral is physically and chemically comparable to the mineralized matrix of human bone, which makes it an excellent choice for socket preservation. No membrane needed in most cases.Intended for use in dental surgery including:• Augmentation or reconstructive treatment of the alveolar ridge.• Filling of infrabony periodontal defects.• Filling of defects after root resection, apicoectomy, and cystectomy.• Filling of extraction sockets to enhance preservation of alveolar ridge.• Elevation of the maxillary sinus floor.• Filling of periodontal defects in conjunction with GTR.• Filling of peri-implant defects in conjunction with GBR.","[""https://www.safcodental.com/media/catalog/product/p/f/pfwrl.jpg?optimize=medium&fit=bounds&height=700&width=700&canvas=700:700""]",{},selector,1.0,[],2026-05-05T20:29:07.698474Z
Ossify® Cortical Bone Sheet,Surgical Esthetics,PFWRG,149.49,USD,,in_stock,"[""Sutures & Surgical Products""]",https://www.safcodental.com/product/ossify-sup-reg-sup-cortical-bone-sheet,"Ossify Bone Sheet is 100% laminar cortical bone that has been demineralized, which makes it flexible allowing it to be contoured, molded and trimmed. This enables it to be used as a membrane and can be screwed, tacked or sutured into place. It can be placed alone or in combination with particulate allograft to regenerate larger defects. It comes pre-hydrated and ready to use.","[""https://www.safcodental.com/media/catalog/product/p/f/pfwrg.jpg?optimize=medium&fit=bounds&height=700&width=700&canvas=700:700""]",{},selector,1.0,[],2026-05-05T20:29:09.590980Z
Ossify® DBM Cortical Fiber Bone Graft,Surgical Esthetics,PFWRF,121.49,USD,,in_stock,"[""Sutures & Surgical Products""]",https://www.safcodental.com/product/ossify-sup-reg-sup-dbm-cortical-fiber-bone-graft,"Ossify DBM Fiber is a next generation bone allograft composed of interwoven demineralized cortical bone fibers. It is configured both by itself and with the addition of 1-1.5mm mineralized cancellous particles. This unique allograft provides an ideal scaffold for bone formation with its extremely high surface area and its optimum shape conforming properties, making it highly osteoconductive. In addition, it has great osteoinductive potential due to the specialized demineralized process. The graft hydrates very uniformly with PRP, blood or saline for maximum handling. It can be used in a variety of surgical applications, including socket grafting, GBR, sinus augmentation, and other bone grafting procedures.","[""https://www.safcodental.com/media/catalog/product/p/f/pfwrf.jpg?optimize=medium&fit=bounds&height=700&width=700&canvas=700:700""]",{},selector,1.0,[],2026-05-05T20:29:12.186318Z
Ossify® Min/Demin Cortical Cancellous Bone Graft,Surgical Esthetics,PFWRE,79.99,USD,,in_stock,"[""Sutures & Surgical Products""]",https://www.safcodental.com/product/ossify-sup-reg-sup-min-demin-cortical-cancellous-bone-graft,"Ossify Min/Demin Cortical Cancellous Bone Allograft is a versatile, all-in-one bone graft designed to promote optimal bone regeneration across a wide range of clinical applications. Composed of a 50/50 blend of cortical and cancellous bone, the graft features 30% demineralized bone, leaving 70% of the material mineralized. This unique formulation enhances both osteoconductive and osteoinductive properties, supporting superior bone healing. Suitable for a variety of bone regeneration procedures, including socket grafting, ridge preservation, guided bone regeneration (GBR), and sinus augmentation. 0.5 – 1.0mm particle size.","[""https://www.safcodental.com/media/catalog/product/p/f/pfwre.jpg?optimize=medium&fit=bounds&height=700&width=700&canvas=700:700""]",{},selector,1.0,[],2026-05-05T20:29:13.738296Z
OSSIF-i sem™,Surgical Esthetics,PFWRD,41.49,USD,,in_stock,"[""Sutures & Surgical Products""]",https://www.safcodental.com/product/ossif-i-sem-trade,"Mineralized cancellous bone allograftIdeal for filling periodontal defects, extraction sockets, apicoectomy and root-resection. Can be used in conjunction with placement of dental implants. Double-sterile packaged jars can be taken directly to the sterile surgical site; material does not need to be transferred to another container.Mineralized cortical/cancellous bone allograftExcellent osteoconductive scaffold used in a variety of surgical procedures, including: extraction socket grafting, implant placement, osseous ridge repair, and sinus augmentations. Outstanding inner porosity and surface area, promotes clot formation and consistent, stable ossification and space maintenance. Double-sterile packaged jars; material does not need to be transferred to another container.Demineralized cancellous bone allograft sponge stripsPliable and resilient sponge matrix that can be adapted to numerous clinical needs including horizontal or vertical ridge augmentation, extraction sockets, recession defects, and can be used in conjunction with the placement of dental implants. Quickly becomes well vascularized following placement, and acts as an osteoconductive and osteoinductive scaffold for bone formation.","[""https://www.safcodental.com/media/catalog/product/p/f/pfwrd.jpg?optimize=medium&fit=bounds&height=700&width=700&canvas=700:700""]",{},selector,1.0,[],2026-05-05T20:29:15.761938Z
Foundation™,J. Morita,PFWEG,420.49,USD,,in_stock,"[""Sutures & Surgical Products""]",https://www.safcodental.com/product/foundation-trade,"A collagen-based bone augmentation material that is placed into the socket immediately following an extraction to provide support for implants, bridges, and dentures.Promotes bone growth after tooth extraction, allowing implants to be placed in as early as 8 weeks.The surrounding cells and capillaries gradually infiltrate; as the extraction socket heals, it becomes filled with new augmented bone.Easy-to-place, “bullet-shaped” pellets are individually packaged in sterile containers.","[""https://www.safcodental.com/media/catalog/product/p/f/pfweg.jpg?optimize=medium&fit=bounds&height=700&width=700&canvas=700:700""]",{},selector,1.0,[],2026-05-05T20:29:17.490890Z
"OraSoothe® ""SOCKIT"" Gel",Septodont,PFPGH,9.99,USD,,in_stock,"[""Sutures & Surgical Products""]",https://www.safcodental.com/product/orasoothe-reg-sockit-gel,"Hydrogel dressing treats intraoral wounds and lesions. Provides fast, continuous pain relief without numbing. Protects from chemical and microbial contamination and promotes optimal healing.Contains no drugs, and has no toxicity or contraindications. Safe if swallowed. Individual 10g syringes are ideal for both in-office and take-home use. FDA approved.Please note:SOCKIT! Gel has changed its name. This product has transitioned toOraSoothe ""SOCKIT"" Gel. The product is the same - only the name has changed.","[""https://www.safcodental.com/media/catalog/product/p/f/pfpgh.jpg?optimize=medium&fit=bounds&height=700&width=700&canvas=700:700""]",{},selector,1.0,[],2026-05-05T20:29:19.742234Z
Perma Sharp® sutures,Hu-Friedy,PFEDB,71.99,USD,,in_stock,"[""Sutures & Surgical Products""]",https://www.safcodental.com/product/perma-sharp-reg-sutures,"Suture needles are made from Series 300 Stainless Steel, the ideal alloy for dental sutures. This alloy allows a very fine point geometry, stays sharp throughout the suturing procedure and is less likely to bend and more resistant to breakage. In addition, the needles have a high-polished finish for a smoother penetration.For Perma Sharp® Sutures Chart along with additional information,click here.","[""https://www.safcodental.com/media/catalog/product/p/f/pfedb.jpg?optimize=medium&fit=bounds&height=700&width=700&canvas=700:700""]",{},selector,1.0,[],2026-05-05T20:29:23.494105Z
Safco SureStitch™ sutures,Safco,PFEMN,30.49,USD,,in_stock,"[""Sutures & Surgical Products""]",https://www.safcodental.com/product/safco-surestitch-trade-sutures,"Extra sharp cutting edges on the needle reduce tissue drag and produce a precise, smooth penetration with minimal trauma. Needle channel is fitted to the specific size of the suture material. Excellent handling and tying characteristics. Reverse cutting.Plain gut (catgut):Made of first quality raw material, catgut has extremely high tensile strength. Every strand is precision polished to a uniform diameter, permitting smooth and secure knotting.Chromic gut (catgut):Produced with the same precision and quality materials as plain gut, plus treated with chromic acid salts to decrease tissue reactivity and provide a slower absorption rate.Black braided silk:Noncapillary silk has excellent handling and tying characteristics. Modern braiding technique provides a uniform smooth surface and a greater tensile strength.Nylon black monofilament:A non-absorbable polyamide suture with characteristic high tensile strength. The uniform smooth surface permits easy passage through tissue.For Safco SureStitch™ Sutures Chart along with additional information,click here.","[""https://www.safcodental.com/media/catalog/product/p/f/pfemn.jpg?optimize=medium&fit=bounds&height=700&width=700&canvas=700:700""]",{},selector,1.0,[],2026-05-05T20:29:25.452804Z
